md5	genreid	genre	moduleid	filename
c5dacaf72139ea44b89cd9ef280a5b88	63	Trance - Acid	212746	high_pharaoh.it
c5dd7e4dad017ab06c854b5be770e537	71	Trance (general)	59923	1_djb_csr.it
c5e148b63787e796e552e61d71282556	34	Electronic - Industrial	42003	ff_fctn.it
c5e1b74da052ab53cbdfc463402ea596	54	Chiptune	43951	going.xm
c5e4865fa0170b553c3d05bf4f266698	100	Electronic - Other	184538	space_demon.it
c5e4b70c9f063dc8185a20f2288b5d5c	32	Funk	140566	the_funky_voyage_of_vosztok.xm
c5e78dbcac5f39107a42beee1ffd6f4a	8	Video Game	39244	cossack2.s3m
c5ea78ccbe0f404c0360348c29dc37aa	59	Piano	36138	chan_thereal.xm
c5ebe0cdc869cc24dad602343a697786	3	Electronic - Dance	50346	megaryx.xm
c5ee7c19336d95f4d203636a6a784302	59	Piano	55329	rik_ew.it
c5ef2939312e76284840811e0adf64c2	12	Pop (general)	41104	fairlit1.mod
c5f2476527a8039b1a5d7ab7cdb61f6a	71	Trance (general)	61196	vr_jour.xm
c5f3e1b6791cbe6a2446ae058227fdc5	55	Demo Style	190427	songerson_-_dog96.mod
c5f99492b5830efc65580f08497073d8	7	Electronic - Techno	57183	siera2_x.it
c5fa18d13de40115202c63e2c3a6700b	42	World	131904	the_lion_is_dead.mod
c5fe31ac3c6c7eb75752270ceef2f63d	54	Chiptune	185154	clop_-_hybrid_sparta.it
c6024bc22d94bcb0a21cc31558d281b4	13	Rock (general)	39837	crossroa.mod
c6045ff1db2225e38768cf825f5b468c	36	Metal (general)	199295	thrash-2-identity_confusion.it
c608d268911d6a53e7bffbe464c50486	3	Electronic - Dance	56125	seaside.s3m
c60b5cecdc9bf92e5d03b4e886a05eb5	15	Rock - Soft	42262	envision.s3m
c60fd8ad3aa81ebef3865b2b7e0e549d	35	Punk	40629	e1m1.it
c611f040bbf97c37afe7c88c5d7f0cae	7	Electronic - Techno	167371	tekno-355.mod
c6142fd5f217fee4c4ac29be23b6b4e1	100	Electronic - Other	173152	sunjewels.it
c614ae1048a59e7e15a6c07649e2b49b	36	Metal (general)	155902	neonz-jalapeno.it
c615320ba790e0869660fbd259da2e03	36	Metal (general)	66325	pip-dumpsterjuice.it
c6172e4ce519617e504768995bb12ad7	12	Pop (general)	182726	yk_-_anggandako.s3m
c61b3923ae8b531c314fc0add650950e	6	Electronic - Drum &amp; Bass	56814	ps2count.xm
c61c0ee47d73790cf1baf078afb640b9	50	Orchestral	36233	darkness.it
c61e95d7b35ef516dbd6c0ff502ad3ae	54	Chiptune	187410	zabutom_-_leningrad_vodka_rush.xm
c61fe54bd1ebe24078ea7592ef16e32d	10	Electronic - House	182192	mcsar.mod
c621a1e313929b22cd313dc5706383c3	32	Funk	61308	thecatch.xm
c622116ae88ecdc7dfc96e1821abf972	61	Pop - Synth	174071	starlitdeception.mod
c622b0165f5636aca3330bbe7ec2a5bc	105	Bluegrass	91222	club_atlantique.mod
c62552d6b6a7b5db8998fe5e90b00ea7	7	Electronic - Techno	49008	n-anthem.s3m
c627ea64f63bb76590fcec3bea2b05aa	35	Punk	47419	kaizsu_-_the_offspring.xm
c628dae330efb9810f5c31e150098c99	18	Country	65597	robric303.xm
c6293963f732c63cb11bf2773f17649d	62	Pop - Soft	52945	questsur.it
c629773be8c52d485a26670cc8225e19	39	Electronic - Hardcore	184221	woutervl_ktfc.mptm
c629b53b521d7df45563ba60dc0e5e92	1	Electronic (general)	87574	animated_lines.mod
c62aebf361e2ad8364bccd2a3940f16c	1	Electronic (general)	65963	alpmar-kingdom_of_heaven.mod
c62ec87f1996171efdbb09893ae6cd20	56	Ballad	65802	robric351.xm
c6349961787d36c15f0d46d3e68f5650	101	Electronic - Minimal	169743	bunker.xm
c6381d9763a7768a0091a696514fcd63	52	Fantasy	59247	0_02i.it
c639e7931a00d8fdcf39f5824e3194b6	54	Chiptune	166451	bankok_knights_ferylmix.xm
c63a2c6dc541a6e9aa5634e055fc7f74	54	Chiptune	53823	pd-hell.xm
c63c2791f89cf1bb1d00e77431832bdd	3	Electronic - Dance	58891	tbo_afte.xm
c640d689e11b8685d098d8b9b31de5af	32	Funk	128901	only_for_wild_ones.mod
c640df2771873cec40e47629211ad443	55	Demo Style	44831	ictoan.it
c647583a3559993fff3fb932e59263bb	37	Metal - Extreme	208522	hkvalhe_-_devilstorture.med
c6481417dc9854aba431e9497a1653f1	82	Halloween	87203	drunkmod.mod
c64973c53a4abf45e36403bda1253a42	99	Electronic - IDM	167014	ash_emoflow.it
c649951c1b3e803519a35f61c16e788f	61	Pop - Synth	64063	tragmar.s3m
c649f08b40cf17fb123a91b361e66d16	13	Rock (general)	56269	rocky2.it
c64f7c7230d6636017e4dc0386a226c8	54	Chiptune	210498	c512w_-_rchda.xm
c652f0e825b88dbc817634cf7c303c00	13	Rock (general)	47832	kitaraso.xm
c653c5cf2ffa8bd3858a94fa75f51287	54	Chiptune	142294	a_piece_for_freedom.xm
c65459f78456e5804c051b9a65df3726	46	Experimental	63558	zapchany_zlew.xm
c657813c225776d9b4b7438437f74060	54	Chiptune	156127	because.it
c65abbb59335c2d8754d3b81c472da50	40	Electronic - Gabber	189973	pekka_pou_-_into_my_assembly.mod
c65f7827762f3f0c06b8480ff71aaf1f	2	Electronic - Ambient	144205	dazzled.xm
c661bce994a1d15af1b4cd083422947b	41	Other	179490	sgs-sl12.mod
c663247c3181573d8b9a0fbd00a78a4a	7	Electronic - Techno	33834	apple.s3m
c66527d0eedf0b16523da134d7fd0ab1	54	Chiptune	60060	1mhzroll.mod
c665b612e4ee785f801f85a3df1d49b8	39	Electronic - Hardcore	43697	glaube_r.mod
c66986fad25016891e0c3195436626df	54	Chiptune	193715	jss_-_nyan_cat.xm
c66a5a7659e9d7dd8fe061668b6d3eed	61	Pop - Synth	51676	nosmokin.xm
c66c08ffc6d56b2eeb9f6192301792e1	44	New Age	46062	inthename.mod
c6702c35b9a6da3f582fdc7430ec7ae7	100	Electronic - Other	184287	portal_lazer.it
c672d8fffc3b84011d8f5d76289af002	54	Chiptune	193200	mua_ei_kiinnosta_ihan_oikeesti_remix.xm
c6752cb74298be6fd6c4f6238e7a011f	39	Electronic - Hardcore	164516	w_fhth.xm
c675da82f14f87ddfa121fc2c363b841	56	Ballad	63085	xtdemotions.mod
c6771812dde5ba3248d752c1723dd978	59	Piano	50536	memoirs.xm
c678828f4beb76d683ea2382069feb3f	1	Electronic (general)	182680	b_cuts_n.it
c678a7fac1447f0bfb9fe442523662ab	36	Metal (general)	59168	td_tol.xm
c67bc01e37d3dc63fd2fae3b6b9bd8ef	54	Chiptune	168910	wiklundandmalmen-rabbit_outfits.xm
c67cadf91fb18682b0c3e11a35807f74	61	Pop - Synth	190004	joseph_tek_fox_-_kahelp.s3m
c67fabadca1d1cfe7bd2e53cf4d8a9c0	52	Fantasy	134324	ancient_stories.xm
c67fdc3379f0f2c8909c631641be1206	106	Chillout	127773	mainmag.mod
c680cb4253b596df83714de2fcc39f81	100	Electronic - Other	173486	7m.it
c68164269a9467b1193903738bf3eb29	100	Electronic - Other	210001	quack.it
c6892968a44712296dec2d9ff05de0a8	106	Chillout	107257	drink_my_pain_away.mod
c696d6445e0239958c2f3751134eccda	53	One Hour Compo	39398	bungee.xm
c6976c8d893c7ab0750b49262dfc8d82	8	Video Game	40284	cyberneticwave.s3m
c6989943f5a96a1836d727329e00e69b	54	Chiptune	213211	c512w_-_kazotskyvodk3.xm
c699b3322bd2a47d5a40d741164c7610	2	Electronic - Ambient	66143	diamondmed.it
c69c089d9189288f7bcba251d00a17c5	36	Metal (general)	48370	kurac.xm
